,username,name,id,description,created_at,tweet_count,public_metrics
28,studentnurse_FP,Freyja Pattrick,1.591798810593968e+18,22 • 1st year Student nurse (Children’s) @_BNUni 👩🏼‍⚕️ • Class student rep 👩🏼‍🎓 • Keen baker and gym goer 🧁💪🏼 • All views are my own 🤍,2022-11-13T14:23:16.000Z,,
29,itsjustrosanna,Rosanna,291935011.0,"OU graduate, now student nurse 👋🏻",2011-05-02T21:08:46.000Z,,
30,StaceyT1488,Stacey taylor,1.5915504305925243e+18,"Qualified staff nurse, Wife and mummy to my 2 beautiful children and my fur baby. Always follow your dreams and don't be afraid to stand out from the crowd",2022-11-12T21:56:39.000Z,,
31,NoScrubs26,🩺Leigh-Marisa👩‍⚕️,1.591519796444758e+18,HCA 🫶🏼 1st year student nurse 📚🩺 All views are my own 🤍,2022-11-12T19:54:41.000Z,,
32,gthomas98,Geraint,2536589681.0,3rd year student nurse at Cardiff University,2014-05-09T05:54:12.000Z,,
33,EmmaDav89891930,Emma Davies,1.4839312184125071e+18,"Proud mummy, devoted wife and nurse - with a whole bunch of crazy animals👩‍⚕️👨‍👩‍👧‍👦🐕‍🦺🦮🐈🐎🐐🐇🐀🐥🐓🦢",2022-01-19T22:36:18.000Z,,
34,reekstar1980,Matt Reekie,1.4460894941140623e+18,"Here to discuss nursing, politics, philosophy, martial arts & tabletop gaming",2021-10-07T12:26:32.000Z,,
35,Katy00_uk,Kate Butcher,192552662.0,mental health nurse.,2010-09-19T13:49:01.000Z,,
36,shaz_owen,shaz owen,1.591146484984062e+18,"mental health nurse
rcn",2022-11-11T19:11:32.000Z,,
37,clarejpwright,clare,1.4701321808777295e+18,"Retired nurse, worried about NHS privatisation, socialist",2021-12-12T20:44:20.000Z,,
38,fairyknuff,fairyknuff 🇺🇦🇪🇺💚💙#FBPE,721831098.0,"European, proud mother and grandmother,organic gardener, retired nurse, animal lover. Love my country but hate what’s become of it under the Tories.",2012-07-28T09:08:34.000Z,,
39,tired_penguins,Emily,3002191461.0,NICU nurse with the motivation  of a sieve,2015-01-27T22:46:08.000Z,,
40,MisShortie,Claire M,20156318.0,"Part-time gamer, Full-time nerd. Critical Care nurse with a passion for all things food, fluffy animals and science! All views my own ❤️",2009-02-05T15:27:03.000Z,,
41,JuliaTaylor5,Julia Taylor 💙#FBPE,302712865.0,"former Oncology/Palliative Care C.N.S. (Tried retiring...hated it!)
#Districtnurse.
#remainer.#proEuropean.#toriesout
#loveSpaniels. #Gin. #ponds.#Books. #food.",2011-05-21T16:46:53.000Z,,
42,sophstockley,Sophie Stockley,150809277.0,Mama to Henry George💙 General Practice nurse👩🏻‍⚕️🩺,2010-06-01T22:02:37.000Z,,
43,MollyPayne01,Molly Payne,1.5163507317747996e+18,Emergency nurse and lecturer in Adult Nursing @UWEBristol,2022-04-19T09:39:29.000Z,,
44,FRANKIEE1902,Frankie🏳️‍🌈,1068676532.0,"They/Them
Student nurse (Learning Disability)",2013-01-07T16:17:34.000Z,,
