id,created_at,edit_history_tweet_ids,text,withheld,clean_text,non_english,nouns
1.4988282031416115e+18,2022-03-02 01:11:05+00:00,['1498828203141611521'],"@GBNEWS I know he’s not personally responsible for the slaughter of innocent men, women and children in Ukraine. But if he had an ounce of dignity or humanity, he would step down out of respect for those who have died.",,know personally responsible slaughter innocent men woman child ukraine ounce dignity humanity would step respect died,True,slaughter woman ounce dignity humanity respect 
1.4988258267789883e+18,2022-03-02 01:01:38+00:00,['1498825826778988546'],@ReyAnthonyFL @DJack_Journo Wow.. wow .. wow,,wow wow wow,True,wow wow wow 
1.498824508022612e+18,2022-03-02 00:56:24+00:00,['1498824508022611972'],@nazirafzal Spiteful and unnecessary comment.,,spiteful unnecessary comment,True,comment 
1.4988228813331087e+18,2022-03-02 00:49:56+00:00,['1498822881333108741'],"@Tobias_Ellwood @DJack_Journo Feel sick to the pit of my stomach. Those brave men, women and terrified children. What is to become of them? They have shown such courage, in such unnecessary brutality. My prayers are with them tonight.",,feel sick pit stomach brave men woman terrified child become shown courage unnecessary brutality prayer tonight,True,pit stomach woman brutality prayer tonight 
1.498719821546111e+18,2022-03-01 18:00:24+00:00,['1498719821546110983'],@HarrietSergeant The courage of these people is simply amazing and humbling x,,courage people simply amazing humbling,True,courage 
1.498451266514694e+18,2022-03-01 00:13:16+00:00,['1498451266514694145'],@FrankMooreB2BW @Natures_Voice @wildlife_uk @NatureUK @Britnatureguide Beautiful,,beautiful,True,beautiful 
1.498230202895417e+18,2022-02-28 09:34:50+00:00,['1498230202895417349'],"If you have IBS, or you are a carer for someone who has IBS, please take a little time to fill in this Guts UK survey. It offers an opportunity to shape research into this complex condition. https://t.co/xth7K5k7hp",,ibs carer someone ibs please take little time fill gut survey offer opportunity shape research complex condition,True,ibs carer someone please time survey opportunity shape research condition 
1.497742511229612e+18,2022-02-27 01:16:56+00:00,['1497742511229612033'],@bbclysedoucet Victor,,victor,True,victor 
1.4977419739014308e+18,2022-02-27 01:14:47+00:00,['1497741973901430796'],@RoryStewartUK @ZelenskyyUa Respect x,,respect,True,respect 
1.4973769280257884e+18,2022-02-26 01:04:14+00:00,['1497376928025788416'],@bbclysedoucet @georgecat61 Bless you Lyse.. you are such a lovely person .. stay safe..,,bless lyse lovely person stay safe,True,bless lyse person 
1.496995575123882e+18,2022-02-24 23:48:52+00:00,['1496995575123881991'],When I was just beginning to warm to David Lammy .. he goes all Tonto 🤷🏻‍♀️🤷🏻‍♀️🤷🏻‍♀️ #bbcqt,,beginning warm david lammy tonto,True,warm david lammy tonto 
1.4959391779590226e+18,2022-02-22 01:51:07+00:00,['1495939177959022594'],"@silverclouds_ @amateuradam Wowzers..it’s like watching my 42 yrs as a NHS nurse compressed into 7 hrs..the good,the bad, and the very ugly. It’s tough being a nurse, but Drs do need more support,it’s a hard job..the NHS is a giant machine that no one wants to take care of..it’s about time someone did..",,wowzersits like watching nurse compressed hrsthe goodthe bad ugly tough nurse drs need supportits hard jobthe giant machine one want take care ofits time someone,True,nurse goodthe nurse jobthe giant machine want take care time someone 
1.4959363476219617e+18,2022-02-22 01:39:53+00:00,['1495936347621961735'],"Wowzers..it’s like watching my 42 yrs as a NHS nurse compressed into 7 hrs..the good,the bad, and the very ugly. It’s tough being a nurse, but Drs do need more support,it’s a hard job..the NHS is a giant machine that no one takes any care of..it’s about time someone did..",,wowzersits like watching nurse compressed hrsthe goodthe bad ugly tough nurse drs need supportits hard jobthe giant machine one take care ofits time someone,True,nurse goodthe nurse jobthe giant machine take care time someone 
1.4959308248055194e+18,2022-02-22 01:17:56+00:00,['1495930824805519361'],@ToniaBuxton @thecoastguy So happy to share my birthday with such a lovely man xx,,happy share birthday lovely man,True,share birthday man 
1.495160180643971e+18,2022-02-19 22:15:40+00:00,['1495160180643971075'],@Thomasod10 What an amazing person you are.. and how lucky you and Margaret are tro have found each other ❤️,,amazing person lucky margaret tro found,True,person margaret tro 
1.494837186222596e+18,2022-02-19 00:52:12+00:00,['1494837186222596102'],"@PatrickChristys @GBNEWS @YouTube It was a great show Patrick ., well done to you and your team .,",,great show patrick well done team,True,show team 
1.4948344563933102e+18,2022-02-19 00:41:21+00:00,['1494834456393310210'],@JaneyGodley Exercise book,,exercise book,True,exercise book 
1.4947451375487713e+18,2022-02-18 18:46:26+00:00,['1494745137548771331'],@alportfc @nptfc Got mine 😁,,got mine,True,mine 
1.4941053071103795e+18,2022-02-17 00:23:59+00:00,['1494105307110379523'],@Papi_Pricee @Caroljo39679012 Hope you find he safe ❤️,,hope find safe,True,hope 
1.492814153987281e+18,2022-02-13 10:53:24+00:00,['1492814153987280899'],"@GBNEWS you asked Mr Magee about the player who kicked a cat..&amp; he immediately talked ‘how it effected football’..it’s about cruelty,not football,the man was laughing as he did it, it’s plain wrong to say ‘football hoped it would settle down’ he should be charged Mr Magee",,asked magee player kicked catamp immediately talked effected footballits crueltynot footballthe man laughing plain wrong say football hoped would settle charged magee,True,player man plain football magee 
1.492812332732498e+18,2022-02-13 10:46:09+00:00,['1492812332732497924'],"@GBNEWS Such an interesting informative programme.A broad range of views. Who ever takes over from Cressida Dick will say all the right things in public, weeks later it will be ‘as you were’..maybe try changing London Mayor at the same time, be seen to be serious about change",,interesting informative programmea broad range view ever take cressida dick say right thing public week later weremaybe try changing london mayor time seen serious change,True,programmea range view cressida thing week mayor time change 
1.4928081082923336e+18,2022-02-13 10:29:22+00:00,['1492808108292333572'],"@GBNEWS Such an interesting informative programme.A broad range of views. Who ever lates over from Cressida Dick will say all the right things in public, weeks later it will be ‘as you were’..maybe try changing London Mayor at the same time..be seen as being serious to change things",,interesting informative programmea broad range view ever lates cressida dick say right thing public week later weremaybe try changing london mayor timebe seen serious change thing,True,programmea range view thing week mayor timebe change thing 
1.4927964142960108e+18,2022-02-13 09:42:54+00:00,['1492796414296010754'],@alportfc @goddarddidz @LeaEdge @adamshillcock1 @MellingsPaul So well done lads 👏🏻👏🏻👏🏻,,well done lad,True,lad 
1.4926125645298647e+18,2022-02-12 21:32:21+00:00,['1492612564529864704'],@charmed715 1- snails 🤮,,snail,True,snail 
1.492602176165884e+18,2022-02-12 20:51:04+00:00,['1492602176165883910'],@BBCShropSport @alportfc @CoventrySphinx @BBCShropshire @owentaylor00 They’ve only gone and done it … well done lads,,theyve gone done well done lad,True,theyve lad 
1.4925995187847987e+18,2022-02-12 20:40:31+00:00,['1492599518784798725'],What an opener to Starstruck .. wow 🤩,,opener starstruck wow,True,wow 
1.4925950532478405e+18,2022-02-12 20:22:46+00:00,['1492595053247840264'],Panda is Myleen Lass #MaskedSinger,,panda myleen lass,True,panda myleen lass 
1.4925829189166449e+18,2022-02-12 19:34:33+00:00,['1492582918916644874'],@MaskedSingerUK @charlottechurch @Sheridansmith1 Leslie Garrett,,leslie garrett,True,leslie garrett 
1.4925815957856133e+18,2022-02-12 19:29:17+00:00,['1492581595785613314'],Mushroom = Leslie Garrett #MaskedSinger,,mushroom leslie garrett,True,mushroom garrett 
1.4925466795931238e+18,2022-02-12 17:10:33+00:00,['1492546679593123848'],"@alportfc Fantastic ., so well done lads",,fantastic well done lad,True,lad 
1.4922730752027116e+18,2022-02-11 23:03:20+00:00,['1492273075202711564'],@alportfc Good luck lads ⚽️,,good luck lad,True,luck lad 
1.4922568464338944e+18,2022-02-11 21:58:51+00:00,['1492256846433894405'],@alportfc Good luck lads,,good luck lad,True,luck lad 
